 Date,Type,Description,Credit,Debit,Balance
29/05/2026,GROSS_INTEREST,Interest,558.39,0,166967.18
26/05/2026,WITHDRAWAL,Elena FY25 Tax 0000-PROCESSED-NAB202605265091200013,0,8331,166408.79
13/05/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),250.97,0,174739.79
12/05/2026,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),176.11,0,174488.82
8/05/2026,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),36.51,0,174312.71
6/05/2026,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),298.91,0,174276.2
4/05/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),31.8,0,173977.29
4/05/2026,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),33.92,0,173945.49
4/05/2026,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),28.67,0,173911.57
30/04/2026,GROSS_INTEREST,Interest,436.75,0,173882.9
24/04/2026,DEPOSIT,"Sold 69,797.702900 Ares Diversified Credit Fund 0.947500 [MGDFUND] 09-APR-2026 Ref: 36905584",66133.32,0,173446.15
20/04/2026,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),269.97,0,107312.83
20/04/2026,WITHDRAWAL,Fix error,0,25000,107042.86
17/04/2026,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),44.1,0,132042.86
15/04/2026,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),88.89,0,131998.76
15/04/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),697.32,0,131909.87
15/04/2026,WITHDRAWAL,MAR-26 QTR MAP Private Wealth - Invoice 268051,0,4814.18,131212.55
14/04/2026,DEPOSIT,Distribution from Macquarie True Index Australian Fixed Interest Fund (MAQ0211AU),513.22,0,136026.73
13/04/2026,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),609.5,0,135513.51
13/04/2026,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),441.63,0,134904.01
13/04/2026,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),47.6,0,134462.38
8/04/2026,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),321.4,0,134414.78
8/04/2026,DEPOSIT,Distribution from UBS JBWere International Credit Fund (UBS0487AU),719.71,0,134093.38
31/03/2026,GROSS_INTEREST,Interest,429.42,0,133373.67
20/03/2026,DIRECT_CREDIT_DIVIDEND,"DIVIDEND From LSF, Ref: 001352775571",239.15,0,132944.25
12/03/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),707.44,0,132705.1
9/03/2026,DEPOSIT,Distribution from Hamilton Lane Global Private Assets Fund (AUD) - Hedged (PIM1015AU),452.25,0,131997.66
5/03/2026,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),268.95,0,131545.41
27/02/2026,GROSS_INTEREST,Interest,402.75,0,131276.46
26/02/2026,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),293.86,0,130873.71
20/02/2026,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),174.26,0,130579.85
19/02/2026,WITHDRAWAL,EFT TO RFT Corp Pty Ltd ATF The Ramsay Family Trust,0,25000,130405.59
16/02/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),723.38,0,155405.59
13/02/2026,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),37.22,0,154682.21
6/02/2026,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),28.71,0,154644.99
5/02/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),33,0,154616.28
5/02/2026,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),34,0,154583.28
5/02/2026,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),411,0,154549.28
30/01/2026,DEPOSIT,Distribution from Palisade's Unlisted Infrastructure Trust (WHT3724AU),1141.02,0,154138.28
30/01/2026,GROSS_INTEREST,Interest,419.44,0,152997.26
21/01/2026,DEPOSIT,Distribution from MAGELLAN GLOBAL FUND (MGE0001AU),0.01,0,152577.82
21/01/2026,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),343.84,0,152577.81
16/01/2026,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),47.08,0,152233.97
16/01/2026,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),86.88,0,152186.89
16/01/2026,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),1011.34,0,152100.01
14/01/2026,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),722.66,0,151088.67
14/01/2026,WITHDRAWAL,DEC-25 QTR MAP Private Wealth - Invoice 257247,0,4904.52,150366.01
13/01/2026,DEPOSIT,Distribution from Macquarie True Index Australian Fixed Interest Fund (MAQ0211AU),972.53,0,155270.53
12/01/2026,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),615.46,0,154298
12/01/2026,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),306.54,0,153682.54
12/01/2026,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),792.02,0,153376
7/01/2026,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),291.51,0,152583.98
7/01/2026,DEPOSIT,Distribution from UBS JBWere International Credit Fund (UBS0487AU),719.71,0,152292.47
31/12/2025,GROSS_INTEREST,Interest,440.17,0,151572.76
29/12/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),64.01,0,151132.59
24/12/2025,WITHDRAWAL,WES RFT,0,20000,151068.58
17/12/2025,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),294.45,0,171068.58
12/12/2025,CALL_TRANSACTION,"INTERBANK CREDIT From JBWERE LIMITED P, Ref: MAP FEEREFUND  INT",17.6,0,170774.13
11/12/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),670.2,0,170756.53
5/12/2025,DIRECT_CREDIT_DIVIDEND,"DIVIDEND From LSF, Ref: 001347059758",232.51,0,170086.33
5/12/2025,DEPOSIT,"Sold 55,478.000000 Ironbark North Rock Fund 1.777800 [MGDFUND] 31-OCT-2025 Ref: 35635661",98628.79,0,169853.82
4/12/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),269.02,0,71225.03
1/12/2025,DEPOSIT,Distribution from Hamilton Lane Global Private Assets Fund (AUD) - Hedged (PIM1015AU),445.17,0,70956.01
28/11/2025,GROSS_INTEREST,Interest,221.25,0,70510.84
14/11/2025,DEPOSIT,Distribution from Resolution Capital Global Property Securities Fund - Unhedged Series II - Class A (IOF0184AU),68.87,0,70289.59
13/11/2025,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),743.34,0,70220.72
13/11/2025,WITHDRAWAL,WEST RFT,0,35000,69477.38
6/11/2025,DEPOSIT,Distribution from UBS JBWere Australian Credit Fund (UBS7880AU),298.91,0,104477.38
31/10/2025,DEPOSIT,Distribution from Kapstream Wholesale Absolute Return Income Fund (HOW0052AU),36.4,0,104178.47
