 Date,Type,Description,Credit,Debit,Balance
2/04/2026,WITHDRAWAL,"CALL 3,994.52 ALT_STPK_FP MGDFUND @ 1.000000000  Managed Fund",0,5563.01,2187.69
2/04/2026,WITHDRAWAL,ALT_STPK_FP MGDFUND Alternative Investment Cash Contribution,0,996.28,7750.7
2/04/2026,DEPOSIT,"CAPITAL_RETURN 2,384.02 ALT_STPK_FP MGDFUND @ 1.000000000  Managed Fund",3320.13,0,8746.98
9/01/2026,WITHDRAWAL,CALL 580.68 ALT_STPK_FP MGDFUND @ 1.000000000  Managed Fund,0,808.69,5426.85
8/12/2025,WITHDRAWAL,CALL 892.47 ALT_STPK_FP MGDFUND @ 1.000000000  Managed Fund,0,1242.91,6235.54
19/09/2025,WITHDRAWAL,SETTLEMENT BY CASH_MGMT_WITHDRAWAL,0,559.33,7478.45
4/09/2025,WITHDRAWAL,Capital Call 123 STONEPEAK INFRASTRUCTURE FUND IV - PAID [MGDFUND] 04-SEP-2025 Ref: 34645467,0,170.78,8037.78
4/09/2025,DEPOSIT,STPK DIST,3648.46,0,8208.56
4/06/2025,WITHDRAWAL,Bought 119 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 04-JUN-2025 Ref: 33791481,0,166.09,4560.1
4/06/2025,DEPOSIT,STPK DIST,893.45,0,4726.19
7/04/2025,WITHDRAWAL,"Bought 9,528 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commit [MGDFUND] 07-APR-2025 Ref: 33274659",0,13269.73,3832.74
2/04/2025,DEPOSIT,"BUY USD 9,500.00 and SELL AUD @ 0.6276",13230.28,0,17102.47
13/03/2025,WITHDRAWAL,Bought 446 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 13-MAR-2025 Ref: 33013093,0,621.5,3872.2
19/02/2025,WITHDRAWAL,Bought 10 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited  [MGDFUND] 19-FEB-2025 Ref: 32804435,0,13.49,4493.7
19/02/2025,DEPOSIT,STPK DIV,497.99,0,4507.19
6/02/2025,WITHDRAWAL,Bought 707 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 06-FEB-2025 Ref: 32707765,0,985.13,4009.21
20/12/2024,WITHDRAWAL,Bought 540 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 20-DEC-2024 Ref: 32474075,0,752.06,4994.33
1/11/2024,WITHDRAWAL,Bought 230 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 01-NOV-2024 Ref: 32066426,0,320.06,5746.4
1/11/2024,DEPOSIT,STONEPEAK DIST,1174.26,0,6066.46
4/10/2024,WITHDRAWAL,Bought 366 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 04-OCT-2024 Ref: 31841464,0,509.55,4892.19
20/09/2024,WITHDRAWAL,Bought 79 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited  [MGDFUND] 20-SEP-2024 Ref: 31746706,0,109.67,5401.74
2/09/2024,DEPOSIT,SETTLEMENT BY CASH_MGT_DEPOSIT,813.22,0,5511.41
20/08/2024,WITHDRAWAL,Bought 90 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited  [MGDFUND] 05-JUL-2024 Ref: 31105825,0,124.77,4698.2
20/08/2024,DEPOSIT,SETTLEMENT BY CASH_MGT_DEPOSIT,511.87,0,4822.96
19/08/2024,TRANSFER_OUT,STONEPEAK REVERSAL,0,387.1,4311.09
19/08/2024,DEPOSIT,SETTLEMENT BY CASH_MGT_DEPOSIT,3772.56,0,4698.2
5/07/2024,DEPOSIT,STPK DISTRIBUTION JUL24,387.1,0,925.63
13/06/2024,WITHDRAWAL,Bought 398 STONEPEAK INFRASTRUCTURE FUND IV (LUX) SCSP - PAID (1 unit= USD1 commited [MGDFUND] 13-JUN-2024 Ref: 30934217,0,554.88,538.53
